"","t","x","y"
"5577",90870,0.0976713,0.49559
"5578",90886,0.0920491,0.497331
"5579",90901,0.0877228,0.498795
"5580",90917,0.0839434,0.499295
"5581",90932,0.0805745,0.49878
"5582",90948,0.0779714,0.498447
"5583",90964,0.0760872,0.499202
"5584",90979,0.0746522,0.500994
"5585",90995,0.0735359,0.502989
"5586",91010,0.0721174,0.505214
"5587",91026,0.0707303,0.506363
"5588",91042,0.0694345,0.507187
"5589",91057,0.068514,0.507353
"5590",91073,0.0674178,0.506749
"5591",91088,0.066317,0.506439
"5592",91104,0.0652084,0.505997
"5593",91120,0.0638022,0.50605
"5594",91135,0.063098,0.506062
"5595",91151,0.062342,0.505535
"5596",91166,0.061571,0.505225
"5597",91182,0.0610308,0.50473
"5598",91213,0.0609321,0.504185
"5599",91229,0.0609944,0.504455
"5600",91244,0.0613373,0.504395
"5601",91260,0.0615352,0.504444
"5602",91276,0.0613736,0.50476
"5603",91291,0.0612415,0.504742
"5604",91307,0.0626861,0.505015
"5605",91322,0.0660971,0.503072
"5606",91338,0.073373,0.501453
"5607",91354,0.0824121,0.499333
"5608",91369,0.0992488,0.495325
"5609",91385,0.116931,0.490029
"5610",91400,0.136092,0.48623
"5611",91416,0.151661,0.482581
"5612",91432,0.166691,0.479878
"5613",91447,0.179253,0.480222
"5614",91463,0.189162,0.481071
"5615",91478,0.198304,0.483445
"5616",91494,0.206285,0.486616
"5617",91510,0.213304,0.488869
"5618",91525,0.219344,0.490094
"5619",91541,0.223692,0.490571
"5620",91556,0.227422,0.489963
"5621",91572,0.230777,0.489834
"5622",91588,0.233466,0.490343
"5623",91619,0.236314,0.491306
"5624",91634,0.239165,0.492924
"5625",91650,0.241093,0.494009
"5626",91666,0.242879,0.495179
"5627",91681,0.244143,0.495292
"5628",91697,0.244895,0.495302
"5629",91712,0.244988,0.496102
"5630",91728,0.245322,0.496165
"5631",91744,0.245483,0.495805
"5632",91759,0.245598,0.495763
"5633",91775,0.246006,0.495302
"5634",91790,0.246412,0.495316
